
Time stamp: 1700334688.844312 Date time: 2023-11-18 16:11:28.844312
 
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9994180888470916
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9994180888470916
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9994180888470916
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9994180888470916
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9994180888470916
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9994180888470916
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334701.995434 Date time: 2023-11-18 16:11:41.995434
 
Motor 1 | Velocidade: 1.9997205491552708
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9997205491552708
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9997205491552708
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9997205491552708
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9997205491552708
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9997205491552708
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9997205491552708
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9997205491552708
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9997205491552708
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9997205491552708
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9997205491552708
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9997205491552708
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334702.997831 Date time: 2023-11-18 16:11:42.997831
 
Motor 1 | Velocidade: 1.9998657994880678
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9998657994880678
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9998657994880678
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9998657994880678
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9998657994880678
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9998657994880678
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9998657994880678
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9998657994880678
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9998657994880678
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9998657994880678
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9998657994880678
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9998657994880678
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334703.998423 Date time: 2023-11-18 16:11:43.998423
 
Motor 1 | Velocidade: 1.9999355529684641
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9999355529684641
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9999355529684641
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9999355529684641
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9999355529684641
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9999355529684641
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9999355529684641
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9999355529684641
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9999355529684641
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9999355529684641
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9999355529684641
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9999355529684641
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

